strategy,race_id,date,venue,race_number,selection_rank,ticket,stake_units,decimal_odds,p_final,p_model,p_market,expected_value,actual_hit,payout_units,return_units,profit_units,asof_label,odds_policy_status
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260104-13-06,2026-01-04,いわき平,6,5,1-7-4,1,85.5,0.008733523869,0.008733523869,,0.7467162908,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260104-13-06,2026-01-04,いわき平,6,6,7-3-1,1,141.8,0.005265982305,0.005265982305,,0.746716290849,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260104-13-07,2026-01-04,いわき平,7,1,5-7-3,1,42.4,0.017498019142,0.017498019142,,0.741916011621,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260104-13-07,2026-01-04,いわき平,7,2,3-5-6,1,58.8,0.012617619245,0.012617619245,,0.741916011606,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260104-13-07,2026-01-04,いわき平,7,3,5-2-6,1,52.9,0.014024877346,0.014024877346,,0.741916011603,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260104-13-07,2026-01-04,いわき平,7,4,5-7-6,1,83.3,0.008906554761,0.008906554761,,0.741916011591,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260104-13-07,2026-01-04,いわき平,7,5,5-6-4,1,81.7,0.009080979334,0.009080979334,,0.741916011588,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260104-13-07,2026-01-04,いわき平,7,6,3-5-2,1,97,0.007648618676,0.007648618676,,0.741916011572,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260104-45-05,2026-01-04,豊橋,5,1,1-7-2,1,34.3,0.021829946775,0.021829946775,,0.748767174382,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260104-45-05,2026-01-04,豊橋,5,2,2-7-1,1,17.7,0.042303230191,0.042303230191,,0.748767174381,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260104-45-05,2026-01-04,豊橋,5,3,1-2-7,1,16.4,0.045656535023,0.045656535023,,0.748767174377,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260104-45-05,2026-01-04,豊橋,5,4,2-1-4,1,16.4,0.045656535023,0.045656535023,,0.748767174377,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260104-45-05,2026-01-04,豊橋,5,5,1-2-3,1,17.3,0.043281339559,0.043281339559,,0.748767174371,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260104-45-05,2026-01-04,豊橋,5,6,2-1-3,1,12.3,0.06087538003,0.06087538003,,0.748767174369,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260104-45-11,2026-01-04,豊橋,11,1,6-2-5,1,74.6,0.01002813041,0.01002813041,,0.748098528586,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260104-45-11,2026-01-04,豊橋,11,2,6-2-3,1,37.8,0.019790966364,0.019790966364,,0.748098528559,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260104-45-11,2026-01-04,豊橋,11,3,2-6-1,1,13.1,0.057106757905,0.057106757905,,0.748098528555,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260104-45-11,2026-01-04,豊橋,11,4,2-6-5,1,22,0.03400447857,0.03400447857,,0.74809852854,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260104-45-11,2026-01-04,豊橋,11,5,6-3-2,1,84.8,0.00882191661,0.00882191661,,0.748098528528,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260104-45-11,2026-01-04,豊橋,11,6,3-2-6,1,84.3,0.008874241145,0.008874241145,,0.748098528523,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260104-61-05,2026-01-04,玉野,5,1,5-3-7,1,15.4,0.048604411105,0.048604411105,,0.748507931017,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260104-61-05,2026-01-04,玉野,5,2,3-7-5,1,55.6,0.01346237286,0.01346237286,,0.748507931016,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260104-61-05,2026-01-04,玉野,5,3,5-7-1,1,10.6,0.070613955756,0.070613955756,,0.748507931014,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260104-61-05,2026-01-04,玉野,5,4,7-3-5,1,16.2,0.046204193272,0.046204193272,,0.748507931006,False,,0,-1,final,final_odds_research_only
wf_core_bucket_replace_all_drop200_plus_fill80_120_ev_sourcecnt_fixed,20260104-61-05,2026-01-04,玉野,5,5,7-5-1,1,11,0.068046175546,0.068046175546,,0.748507931006,False,,0,-1,final,final_odds_research_only
